Postalcode,lat,long
23219,37.546299,-77.437798
23224,37.495499,-77.471001
23223,37.547699,-77.394798
23112,37.431,-77.654503
23226,37.5825,-77.519699
23227,37.604198,-77.446297
23224,37.495499,-77.471001
